model,horizon_minutes,x_error_AE,y_error_AE,z_error_AE,satclockerror_AE,x_error_cumulative_MAE,y_error_cumulative_MAE,z_error_cumulative_MAE,satclockerror_cumulative_MAE
Hybrid_XGBoost,1395,1.2007953649999998,1.264866268,1.165496675,0.07773245000000001,2.1976778758645046,1.844748260822726,2.719171925313656,1.541835758933081
Hybrid_XGBoost,1410,0.61950732,0.41936763,0.739544644,0.560586014,2.180888827397861,1.8295846370905695,2.69811206061883,1.531396931859325
Hybrid_XGBoost,1425,3.033442512,2.473064605,1.048180802,0.533038656,2.1898630767094622,1.8363581104369844,2.680744363159685,1.5208878973765951
GRU,15,3.8293145743333334,3.3588397046666683,0.3879006049999997,1.3014035506666666,3.8293145743333334,3.3588397046666683,0.3879006049999997,1.3014035506666666
GRU,30,4.097080299916667,3.8026496744583342,0.6776161509999994,1.299236350583333,3.9631974371250003,3.5807446895625015,0.5327583779999996,1.3003199506249998
GRU,45,4.729073125500001,4.359797744250001,0.40366200699999966,1.1533732704999997,4.218489333250001,3.840429041125001,0.4897262543333329,1.2513377239166665
GRU,60,4.958396551083332,4.594102214041668,0.26444636299999924,1.1077901704166666,4.4034661377083335,4.028847334354168,0.4334062814999995,1.2154508355416664
GRU,75,5.289997776666667,4.9647205838333335,0.5641139689999999,1.1561022103333332,4.5807724655,4.216021984250001,0.45954781899999964,1.2035811104999998
GRU,90,5.60106260225,5.384621153625001,0.14672997499999996,1.23340916025,4.750820821625,4.410788512479168,0.4074115116666663,1.208552452125
GRU,105,5.830375827833333,5.254427423416667,0.015623181000000708,1.4727290001666669,4.905042965369048,4.53130835689881,0.35144175014285695,1.2462919589880952
GRU,120,6.266574053416666,5.601735993208333,0.15868988700000042,1.4129315600833336,5.075234351375,4.665111811437501,0.32734776724999987,1.267121909125
GRU,135,6.436980879,5.799179063,0.10463470700000022,1.79954162,5.2265395211111105,4.791119283833335,0.3026018716666666,1.3262796547777778
GRU,150,5.761099459375,4.952859779500001,0.5681349793749999,1.6296857080000002,5.279995514937499,4.8072933334000005,0.3291551824374999,1.3566202601000001
GRU,165,5.16898063975,4.459352996,0.9239559657499998,1.689525316,5.269903253556818,4.775662393636364,0.38322798092045446,1.386884356090909
GRU,180,4.302773720125,4.0191925125,1.2914477521249996,1.3519455439999999,5.1893091257708335,4.712623236875,0.4589129618541665,1.3839727884166668
GRU,195,3.6697900004999995,3.170078829,1.5933670385,1.446051702,5.072423039211539,4.59396597473077,0.5461786600576922,1.3887480894615385
GRU,210,2.3458747808749996,2.6845837455,1.941178724875,1.34150333,4.8776695921875,4.457581529785715,0.6458215218303571,1.3853734637857145
GRU,225,1.9591058612499994,2.171123262,2.0148044112499996,1.372180368,4.6830986767916665,4.3051509786,0.7370870477916666,1.3844939240666667
GRU,240,1.2596608416250001,1.2636775184999993,2.172039897625,1.198037486,4.46913381209375,4.115058887343751,0.8267716009062499,1.3728403966875
GRU,255,0.5523515720000001,0.7018937949999999,2.479665484,1.02600554,4.238734856794117,3.914284470147059,0.9240006528529411,1.3524383462941176
GRU,270,0.6107260323749998,0.2783929373749999,3.0198818535000003,0.8590268586250001,4.037178810993056,3.712290496104167,1.0404384973333332,1.3250265969791668
GRU,285,1.67545598675,0.67082492025,3.733536323,0.4231473132500001,3.912877609717105,3.5522133605328947,1.1821804881578948,1.277559266256579
GRU,300,2.876481471125,1.462519117875,4.4036285925000005,0.16446675787500004,3.8610578027875,3.4477286484000005,1.3432528933749999,1.2219046408375
GRU,315,3.9695511755,2.2172194354999997,4.8954612619999995,0.32432256749999994,3.8662241538690476,3.3891329715952385,1.5124056728333333,1.1791626373452382
GRU,330,5.112031719875,2.8427960431250003,5.5047701915000005,0.722264752875,3.9228517705056816,3.3642994748465913,1.6938767873181817,1.1583945516875
GRU,345,6.49730696425,3.5574239907499994,6.3428223610000005,1.00108483825,4.034784605016304,3.372696192929348,1.8960048557391305,1.1515549989293479
GRU,360,2.3521251258409364,4.261241158374999,6.779009375299999,1.402766223625,3.9646737933839975,3.409718899822917,2.0994633773875,1.1620221332916667
GRU,375,4.118590285563394,5.079331206,7.32847474,2.107767709,3.970830453071173,3.47650339207,2.308623831892,1.19985195632
