horizon_minutes,x_error_AE,y_error_AE,z_error_AE,satclockerror_AE,x_error_cumulative_MAE,y_error_cumulative_MAE,z_error_cumulative_MAE,satclockerror_cumulative_MAE
270,0.610726,0.27839297,3.0198817,0.85902685,4.0371787614292565,3.7122904890113406,1.0404384798473783,1.325026594930225
285,1.675456,0.67082494,3.7335362,0.42314732,3.9128775659360384,3.5522133551145854,1.1821804674048173,1.277559264710075
300,2.8764813,1.4625192,4.4036283,0.16446677,3.8610577523708343,3.4477286458015444,1.3432528614997863,1.2219046398997306
315,3.969551,2.2172194,4.895461,0.32432255,3.866224101611546,3.3891329651787165,1.5124056339263916,1.17916263568969
330,5.1120315,2.8427958,5.5047703,0.72226477,3.92285170880231,3.3642994598908857,1.6938767541538586,1.1583945507353002
345,6.4973073,3.557424,6.342822,1.0010848,4.034784560618193,3.372696182002192,1.896004811577175,1.1515549965526746
360,2.352125,4.2612414,6.7790093,1.4027662,3.9646737426519394,3.4097189009189606,2.099463333686193,1.162022131184737
375,4.1185904,5.0793314,7.3284745,2.1077676,3.970830407142639,3.476503400802612,2.308623781204224,1.1998519492149353
390,0.5881767,4.2112055,6.016924,2.533041,3.8407283425331116,3.5047611731749315,2.4512507090201745,1.251128451182292
405,6.1217284,3.009422,5.277545,2.9084535,3.9252098268932767,3.4864152802361383,2.555928274437233,1.3125108590832464
420,5.268871,2.8953137,3.9726467,3.3609705,3.973197719880513,3.465304510934012,2.6065253615379333,1.3856701318706786
435,3.9192064,1.8877512,2.7817774,4.024294,3.971335949568913,3.410906121648591,2.612568534653762,1.476657158341901
450,2.8303728,1.2770221,1.9119728,4.028263,3.9333038449287416,3.339776655038198,2.5892153422037762,1.5617106894652049
465,1.8621017,0.6403172,0.61527693,4.411091,3.866490871675553,3.252697317830978,2.525539909639666,1.6536261785414912
480,0.3970465,0.4586196,0.18750894,4.727356,3.7580707352608442,3.1653823889791965,2.452476441860199,1.749680234119296
495,0.57573706,0.8020147,1.0529011,4.8808155,3.661636381438284,3.0937651865410083,2.4100650693431045,1.8445631211454219
510,0.6278198,1.0668129,1.0605773,4.793846,3.572406481294071,3.0341489420217624,2.3703742518144497,1.9313067390638239
525,0.6140718,0.9862951,1.2922083,4.2525706,3.4878826328686308,2.9756388323647633,2.339569510732378,1.9976285644939968
540,0.6856185,0.7503704,1.1584572,4.1256227,3.410041963060697,2.9138258198897042,2.3067608343230352,2.0567395140727363
555,0.80475545,0.9385326,0.7851804,3.8735507,3.3396288140400037,2.8604395164025798,2.2656370385273084,2.105842517839896
570,1.0513706,0.80949354,0.7843416,3.619378,3.27941149316336,2.806467253910868,2.22665557892699,2.1456724013152875
585,0.93202484,0.9283118,0.76433355,3.3966866,3.2192220917114844,2.7583094223951683,2.1891601421894173,2.1777496872804103
600,0.8877081,0.90784526,0.55683064,3.2537746,3.160934242606163,2.712047818303108,2.1483519047498705,2.2046503111720086
615,0.9074269,1.0649999,0.077975124,2.6456718,3.1059706487306733,2.6718759187837926,2.0978549101003785,2.215406933935677
630,0.11161801,0.21618694,1.0818619,2.1822498,3.0346765383368446,2.6134071335906075,2.073664599231311,2.2146174779960086
645,0.8126006,0.28499722,1.5870451,1.3151116,2.9830003540183223,2.559258065944494,2.0623478660749837,2.193698737510415
660,1.3567681,0.8111172,2.3953388,0.67793727,2.9460405307737263,2.5195275910876016,2.0699158412489025,2.1592496132308785
675,2.1934443,1.568573,3.401978,0.07609391,2.929316169023514,2.4983952667978073,2.0995172229078083,2.1129572643174064
690,2.6404543,1.9407978,4.1324716,0.86592865,2.9230365630077277,2.486273582862771,2.14371188244094,2.085847946612731
705,3.3418052,2.4862013,4.979673,1.7626817,2.9319465344256543,2.48627204463837,2.2040514787460896,2.0789720695069493
720,4.237229,2.7960107,5.7321835,2.17717,2.95913991642495,2.4927249339719615,2.2775542282809815,2.081017860521873
735,4.8499126,3.4406757,1.0365376,2.6841323,2.9977271149353104,2.5120708686964854,2.2522273592802944,2.0933263192371445
750,0.70460016,3.8855963,0.28749657,2.1168768,2.9518645757436754,2.5395413768291473,2.212932743430138,2.0937973296642305
765,0.54126817,0.61703825,0.6623974,2.4742863,2.9045979795502683,2.501845237086801,2.182530089336283,2.1012578980595458
780,0.05727905,0.22333074,1.8017513,2.439021,2.8498418462964206,2.458027650530522,2.1752074194642215,2.107753344453298
